sequence_id,file,policy,checkpoint,personality,world,seed,n_cycles,selection_temperature,generated_at
S001,S001.json,scorer,,Karlach,configs/game_world.json,42,8,0.1,2026-07-18T23:27:24
S002,S002.json,simple_2b,results/rq2b/models/IND__simple__s0.pt,Karlach,configs/game_world.json,42,8,0.1,2026-07-18T23:27:24
S003,S003.json,nonlinear_2b,results/rq2b/models/IND__nonlinear__wd0.001__s0.pt,Karlach,configs/game_world.json,42,8,0.1,2026-07-18T23:27:24
S004,S004.json,scorer,,Shadowheart,configs/game_world.json,42,8,0.1,2026-07-18T23:27:24
S005,S005.json,simple_2b,results/rq2b/models/IND__simple__s0.pt,Shadowheart,configs/game_world.json,42,8,0.1,2026-07-18T23:27:24
S006,S006.json,nonlinear_2b,results/rq2b/models/IND__nonlinear__wd0.001__s0.pt,Shadowheart,configs/game_world.json,42,8,0.1,2026-07-18T23:27:24
S007,S007.json,scorer,,Laezel,configs/game_world.json,42,8,0.1,2026-07-18T23:27:24
S008,S008.json,simple_2b,results/rq2b/models/IND__simple__s0.pt,Laezel,configs/game_world.json,42,8,0.1,2026-07-18T23:27:24
S009,S009.json,nonlinear_2b,results/rq2b/models/IND__nonlinear__wd0.001__s0.pt,Laezel,configs/game_world.json,42,8,0.1,2026-07-18T23:27:24
S010,S010.json,scorer,,neutral,configs/game_world.json,42,8,0.1,2026-07-18T23:27:24
S011,S011.json,simple_2b,results/rq2b/models/IND__simple__s0.pt,neutral,configs/game_world.json,42,8,0.1,2026-07-18T23:27:24
S012,S012.json,nonlinear_2b,results/rq2b/models/IND__nonlinear__wd0.001__s0.pt,neutral,configs/game_world.json,42,8,0.1,2026-07-18T23:27:24
