sequence_id,file,policy,checkpoint,personality,world,seed,n_cycles,selection_temperature,generated_at
S001,S001.json,scorer,,H1,data/world.json,42,10,0.1,2026-08-04T21:55:16
S002,S002.json,nonlinear_2b,results/rq2b/models/IND__nonlinear__wd0.001__s2.pt,H1,data/world.json,42,10,0.6,2026-08-04T21:55:16
S003,S003.json,agnostic_nonlinear_2b,results/rq2b/models/IND__agnostic_nonlinear__wd0.001__s2.pt,H1,data/world.json,42,10,0.6,2026-08-04T21:55:16
S004,S004.json,scorer,,H2,data/world.json,43,10,0.1,2026-08-04T21:55:16
S005,S005.json,nonlinear_2b,results/rq2b/models/IND__nonlinear__wd0.001__s2.pt,H2,data/world.json,43,10,0.6,2026-08-04T21:55:16
S006,S006.json,agnostic_nonlinear_2b,results/rq2b/models/IND__agnostic_nonlinear__wd0.001__s2.pt,H2,data/world.json,43,10,0.6,2026-08-04T21:55:16
S007,S007.json,scorer,,H3,data/world.json,44,10,0.1,2026-08-04T21:55:16
S008,S008.json,nonlinear_2b,results/rq2b/models/IND__nonlinear__wd0.001__s2.pt,H3,data/world.json,44,10,0.6,2026-08-04T21:55:16
S009,S009.json,agnostic_nonlinear_2b,results/rq2b/models/IND__agnostic_nonlinear__wd0.001__s2.pt,H3,data/world.json,44,10,0.6,2026-08-04T21:55:16
S010,S010.json,scorer,,H4,data/world.json,45,10,0.1,2026-08-04T21:55:16
S011,S011.json,nonlinear_2b,results/rq2b/models/IND__nonlinear__wd0.001__s2.pt,H4,data/world.json,45,10,0.6,2026-08-04T21:55:16
S012,S012.json,agnostic_nonlinear_2b,results/rq2b/models/IND__agnostic_nonlinear__wd0.001__s2.pt,H4,data/world.json,45,10,0.6,2026-08-04T21:55:16
S013,S013.json,scorer,,H5,data/world.json,46,10,0.1,2026-08-04T21:55:16
S014,S014.json,nonlinear_2b,results/rq2b/models/IND__nonlinear__wd0.001__s2.pt,H5,data/world.json,46,10,0.6,2026-08-04T21:55:16
S015,S015.json,agnostic_nonlinear_2b,results/rq2b/models/IND__agnostic_nonlinear__wd0.001__s2.pt,H5,data/world.json,46,10,0.6,2026-08-04T21:55:16
S016,S016.json,scorer,,H6,data/world.json,47,10,0.1,2026-08-04T21:55:16
S017,S017.json,nonlinear_2b,results/rq2b/models/IND__nonlinear__wd0.001__s2.pt,H6,data/world.json,47,10,0.6,2026-08-04T21:55:16
S018,S018.json,agnostic_nonlinear_2b,results/rq2b/models/IND__agnostic_nonlinear__wd0.001__s2.pt,H6,data/world.json,47,10,0.6,2026-08-04T21:55:16
