family,N,teacher_entropy,student_entropy_mean,student_entropy_std
simple,-1.0,1.183210,1.640000,0.002930
simple,-0.75,1.405436,1.681278,0.002232
simple,-0.5,1.635639,1.718325,0.001545
simple,-0.25,1.749359,1.749200,0.000948
simple,0.0,1.780701,1.771912,0.000493
simple,0.25,1.785007,1.784612,0.000147
simple,0.5,1.784811,1.785809,0.000509
simple,0.75,1.786335,1.774578,0.001378
simple,1.0,1.787919,1.750711,0.002626
nonlinear,-1.0,1.183210,1.242989,0.011186
nonlinear,-0.75,1.405436,1.438580,0.007147
nonlinear,-0.5,1.635639,1.646452,0.002896
nonlinear,-0.25,1.749359,1.755266,0.000830
nonlinear,0.0,1.780701,1.783313,0.000331
nonlinear,0.25,1.785007,1.786474,0.000226
nonlinear,0.5,1.784811,1.786356,0.000410
nonlinear,0.75,1.786335,1.786744,0.000527
nonlinear,1.0,1.787919,1.787564,0.000564
