policy,profile,memory,visit_entropy,max_share,distinct,repeat_rate,action_repeat_rate
teacher,Gale,full,1.2814,0.4040,4.8000,0.1490,0.0760
simple,Gale,full,1.0942,0.4160,3.4000,0.0673,0.0417
nonlinear,Gale,full,1.2547,0.4060,4.9000,0.1694,0.1569
teacher,Gale,location_only,1.2814,0.4040,4.8000,0.1490,0.6290
simple,Gale,location_only,1.0942,0.4160,3.4000,0.0673,0.7350
nonlinear,Gale,location_only,1.2547,0.4060,4.9000,0.1694,0.4853
teacher,Gale,none,1.0695,0.5000,4.3000,0.3959,0.5573
simple,Gale,none,0.8847,0.6220,3.2000,0.4551,0.7531
nonlinear,Gale,none,1.1412,0.4720,4.4000,0.3510,0.5502
teacher,Laezel,full,1.2105,0.5060,4.3000,0.0653,0.0250
simple,Laezel,full,1.5800,0.3140,5.8000,0.0184,0.0000
nonlinear,Laezel,full,1.1702,0.5200,4.2000,0.1020,0.0500
teacher,Laezel,location_only,1.2105,0.5060,4.3000,0.0653,0.3583
simple,Laezel,location_only,1.5800,0.3140,5.8000,0.0184,0.3333
nonlinear,Laezel,location_only,1.1702,0.5200,4.2000,0.1020,0.5152
teacher,Laezel,none,0.1558,0.9620,2.0000,0.9327,0.3878
simple,Laezel,none,0.9755,0.5000,4.0000,0.4184,0.7834
nonlinear,Laezel,none,0.1161,0.9740,1.9000,0.9490,0.4622
teacher,Shadowheart,full,0.6926,0.5560,2.1000,0.3898,0.2501
simple,Shadowheart,full,0.6832,0.5620,2.0000,0.5612,0.3185
nonlinear,Shadowheart,full,0.7196,0.5320,2.3000,0.3796,0.2466
teacher,Shadowheart,location_only,0.6926,0.5560,2.1000,0.3898,0.4504
simple,Shadowheart,location_only,0.6832,0.5620,2.0000,0.5612,0.4310
nonlinear,Shadowheart,location_only,0.7196,0.5320,2.3000,0.3796,0.3391
teacher,Shadowheart,none,0.8609,0.5500,3.3000,0.4592,0.4489
simple,Shadowheart,none,0.7115,0.5500,2.3000,0.5347,0.4213
nonlinear,Shadowheart,none,0.9194,0.5320,3.8000,0.4510,0.3494
teacher,Astarion,full,1.4636,0.3380,5.2000,0.0490,0.0500
simple,Astarion,full,1.3912,0.2660,4.1000,0.0020,0.0000
nonlinear,Astarion,full,1.4562,0.3820,5.6000,0.0694,0.0750
teacher,Astarion,location_only,1.4636,0.3380,5.2000,0.0490,0.5583
simple,Astarion,location_only,1.3912,0.2660,4.1000,0.0020,0.1000
nonlinear,Astarion,location_only,1.4562,0.3820,5.6000,0.0694,0.7117
teacher,Astarion,none,0.8956,0.6740,4.0000,0.4939,0.6846
simple,Astarion,none,0.9158,0.5760,3.4000,0.4510,0.9197
nonlinear,Astarion,none,0.9197,0.6240,3.8000,0.4571,0.6128
teacher,Karlach,full,1.2394,0.4440,4.0000,0.0020,0.0000
simple,Karlach,full,1.2292,0.4340,4.1000,0.0041,0.0000
nonlinear,Karlach,full,1.2368,0.4300,4.0000,0.0000,0.0000
teacher,Karlach,location_only,1.2394,0.4440,4.0000,0.0020,0.1000
simple,Karlach,location_only,1.2292,0.4340,4.1000,0.0041,0.2000
nonlinear,Karlach,location_only,1.2368,0.4300,4.0000,0.0000,0.0000
teacher,Karlach,none,0.6792,0.5640,2.0000,0.5143,1.0000
simple,Karlach,none,0.5517,0.7460,2.0000,0.6184,0.9967
nonlinear,Karlach,none,0.6256,0.6660,2.0000,0.5714,1.0000
teacher,Halsin,full,1.4473,0.3620,4.8000,0.0000,0.0000
simple,Halsin,full,1.5035,0.3020,5.6000,0.0000,0.0000
nonlinear,Halsin,full,1.4440,0.3620,5.0000,0.0000,0.0000
teacher,Halsin,location_only,1.4473,0.3620,4.8000,0.0000,0.0000
simple,Halsin,location_only,1.5035,0.3020,5.6000,0.0000,0.0000
nonlinear,Halsin,location_only,1.4440,0.3620,5.0000,0.0000,0.0000
teacher,Halsin,none,0.2627,0.9220,2.0000,0.8633,0.9656
simple,Halsin,none,0.7051,0.5600,2.3000,0.5347,0.7409
nonlinear,Halsin,none,0.2421,0.9320,2.0000,0.8694,0.9905
