split,model,ablation,n_train,eval_split,decision_type,n_cases,n_seeds,kl_mean,kl_std,jsd_mean,jsd_std,top1_mean,top1_std
G1,nonlinear,full,None,G1,action,2482,5,0.002514801936679843,0.0001449688695866656,0.0006274289140911438,3.206152322540286e-05,0.9461724415793716,0.002307465118980888
G1,nonlinear,full,None,G1,all,5000,5,0.0035912338519065055,9.123922800417595e-05,0.0008974276349852487,1.98421890168753e-05,0.9224399999999999,0.004181865612379259
G1,nonlinear,full,None,G1,location,2518,5,0.004652275954206973,0.00013267672164225079,0.0011635661676537034,3.278094749865865e-05,0.8990468625893566,0.006926660136814305
G1,nonlinear,full,None,S0,action,2479,5,0.002005647756201137,0.00010488166320141719,0.0005069317445549946,2.6552882241271682e-05,0.936748688987495,0.0036237667900727616
G1,nonlinear,full,None,S0,all,5000,5,0.002587375806807013,9.956587066221785e-05,0.0006552424133064524,2.576088592273813e-05,0.90984,0.0036698773821478
G1,nonlinear,full,None,S0,location,2521,5,0.003159412235784391,0.00011035363711921206,0.0008010822180802974,2.881015011647241e-05,0.883379611265371,0.004693438939388811
G1,simple,full,None,G1,action,2482,5,0.055877484712177725,0.00018857560988590506,0.014625659194066448,4.096659671813514e-05,0.8942788074133763,0.0014693458927325176
G1,simple,full,None,G1,all,5000,5,0.06010237916867835,5.6809100027228224e-05,0.015643478832523264,3.0944165834941943e-05,0.8677999999999999,0.0022803508501982755
G1,simple,full,None,G1,location,2518,5,0.06426687005074133,0.0002313913627378955,0.016646746641359567,6.848170475931857e-05,0.8416997617156472,0.003763417868302499
G1,simple,full,None,S0,action,2479,5,0.03734830382869513,4.043067761107209e-05,0.009804741664900817,1.6514872392152914e-05,0.83735377168213,0.001408975328485128
G1,simple,full,None,S0,all,5000,5,0.04752140620514201,9.625204818911474e-05,0.012359941501817323,3.493271161162392e-05,0.825,0.0023151673805580563
G1,simple,full,None,S0,location,2521,5,0.05752502413104912,0.00015488210025316678,0.014872571567551562,5.502372034931679e-05,0.812852042840143,0.004116565272231539
G1,uniform,full,None,G1,action,2482,1,0.2428738390877546,0.0,0.06560465423510832,0.0,0.2626913779210314,0.0
G1,uniform,full,None,G1,all,5000,1,0.23644935065594927,0.0,0.06349642283505284,0.0,0.251,0.0
G1,uniform,full,None,G1,location,2518,1,0.23011671352817295,0.0,0.06141833294826266,0.0,0.23947577442414614,0.0
G2,nonlinear,full,None,G2,all,5000,5,0.013402951156957377,0.00027184724879460897,0.0035222435418897136,7.356416051041703e-05,0.83456,0.0015773395322504157
G2,nonlinear,full,None,G2,location,5000,5,0.013402951156957377,0.00027184724879460897,0.0035222435418897136,7.356416051041703e-05,0.83456,0.0015773395322504157
G2,nonlinear,full,None,S0,action,2479,5,0.001960074511385236,0.00015022026191207507,0.0004962417590480834,3.97774680259606e-05,0.9357805566760792,0.0031428077742287463
G2,nonlinear,full,None,S0,all,5000,5,0.0024851524525195167,0.0001628141215520792,0.0006304013577048181,4.2263990430830454e-05,0.9122800000000002,0.002410808992848647
G2,nonlinear,full,None,S0,location,2521,5,0.0030014825659950757,0.00018190479342687876,0.0007623258499975768,4.617407903919694e-05,0.8891709639032129,0.003576616923078086
G2,simple,full,None,G2,all,5000,5,0.05232538425778208,2.4857638065415848e-05,0.01366954120064558,1.7047805338792603e-05,0.8236800000000001,0.004229893615683479
