case_id,n_votes,modal,agreement,answers,n_candidates
general_01#75,3,B,1.0,BBB,3
general_01#93,3,B,1.0,BBB,3
general_01#94,3,E,1.0,EEE,6
general_02#32,3,B,0.6666666666666666,BBC,3
general_02#35,3,B,1.0,BBB,6
general_05#94,3,A,1.0,AAA,2
general_06#50,3,C,0.6666666666666666,CCE,5
general_06#67,3,A,1.0,AAA,2
general_07#80,3,C,1.0,CCC,6
general_09#47,3,B,1.0,BBB,4
general_09#84,3,B,0.6666666666666666,BBA,2
general_09#100,3,B,0.6666666666666666,BEB,6
general_10#88,3,C,1.0,CCC,5
general_11#6,3,A,1.0,AAA,3
general_11#68,3,C,1.0,CCC,3
general_11#93,3,C,1.0,CCC,5
general_12#61,3,A,1.0,AAA,3
general_12#75,3,A,1.0,AAA,2
general_13#48,3,B,1.0,BBB,3
general_14#53,3,A,0.6666666666666666,BAA,3
general_14#86,3,B,1.0,BBB,3
heldout_location_01#9,3,B,1.0,BBB,3
heldout_location_01#17,3,A,1.0,AAA,3
heldout_location_01#22,3,C,1.0,CCC,3
heldout_location_01#35,3,A,1.0,AAA,3
personality_01#12,3,B,1.0,BBB,3
personality_01#14,3,B,1.0,BBB,3
personality_01#30,3,A,1.0,AAA,3
personality_01#35,3,A,0.6666666666666666,ABA,3
personality_01#36,3,C,0.6666666666666666,CCA,3
