system,seed,case_id,group,decision_type,top1,nll
uniform,0,general_01#74,test_iid,action,0,1.0986
uniform,0,general_01#75,test_iid,location,0,1.0986
uniform,0,general_01#93,test_iid,action,0,1.0986
uniform,0,general_01#94,test_iid,action,0,1.7918
uniform,0,general_02#32,test_iid,action,0,1.0986
uniform,0,general_02#35,test_iid,location,0,1.7918
uniform,0,general_02#61,test_iid,action,1,1.0986
uniform,0,general_02#65,test_iid,location,1,1.0986
uniform,0,general_03#3,test_iid,location,0,1.6094
uniform,0,general_03#14,test_iid,location,1,1.3863
uniform,0,general_03#17,test_iid,location,1,1.3863
uniform,0,general_03#18,test_iid,location,0,1.0986
uniform,0,general_03#98,test_iid,action,1,1.0986
uniform,0,general_04#10,test_iid,location,1,1.3863
uniform,0,general_04#23,test_iid,location,1,0.6931
uniform,0,general_04#29,test_iid,location,0,1.6094
uniform,0,general_04#52,test_iid,location,1,0.6931
uniform,0,general_04#57,test_iid,action,0,1.0986
uniform,0,general_04#85,test_iid,location,0,1.0986
uniform,0,general_05#36,test_iid,action,1,1.7918
uniform,0,general_05#94,test_iid,location,0,0.6931
uniform,0,general_05#99,test_iid,location,1,0.6931
uniform,0,general_06#11,test_iid,location,0,1.3863
uniform,0,general_06#28,test_iid,location,0,1.6094
uniform,0,general_06#33,test_iid,action,0,1.0986
uniform,0,general_06#50,test_iid,location,0,1.6094
uniform,0,general_06#67,test_iid,location,1,0.6931
uniform,0,general_06#72,test_iid,location,0,1.3863
uniform,0,general_06#84,test_iid,location,0,1.7918
uniform,0,general_06#89,test_iid,location,0,1.7918
uniform,0,general_07#70,test_iid,action,0,1.0986
uniform,0,general_07#80,test_iid,location,0,1.7918
uniform,0,general_07#95,test_iid,action,0,1.0986
uniform,0,general_07#96,test_iid,action,0,1.0986
uniform,0,general_08#17,test_iid,action,1,1.0986
uniform,0,general_08#24,test_iid,action,0,1.0986
uniform,0,general_08#44,test_iid,action,0,1.0986
uniform,0,general_08#50,test_iid,action,0,1.0986
uniform,0,general_09#18,test_iid,location,0,1.6094
uniform,0,general_09#47,test_iid,location,0,1.3863
uniform,0,general_09#50,test_iid,action,0,1.0986
uniform,0,general_09#84,test_iid,location,0,0.6931
uniform,0,general_09#96,test_iid,action,0,1.0986
uniform,0,general_09#100,test_iid,location,0,1.7918
uniform,0,general_10#88,test_iid,location,0,1.6094
uniform,0,general_10#99,test_iid,location,0,0.6931
uniform,0,general_11#6,test_iid,action,1,1.0986
uniform,0,general_11#23,test_iid,action,0,1.0986
uniform,0,general_11#68,test_iid,action,0,1.0986
uniform,0,general_11#73,test_iid,action,1,1.0986
uniform,0,general_11#78,test_iid,location,0,1.3863
uniform,0,general_11#79,test_iid,action,1,1.0986
uniform,0,general_11#92,test_iid,action,1,1.0986
uniform,0,general_11#93,test_iid,location,0,1.6094
uniform,0,general_12#4,test_iid,action,0,1.0986
uniform,0,general_12#61,test_iid,action,0,1.0986
uniform,0,general_12#75,test_iid,location,1,0.6931
uniform,0,general_12#82,test_iid,location,0,0.6931
uniform,0,general_12#93,test_iid,action,0,1.0986
uniform,0,general_13#37,test_iid,action,0,1.0986
uniform,0,general_13#40,test_iid,action,0,1.0986
uniform,0,general_13#48,test_iid,action,0,1.0986
uniform,0,general_13#66,test_iid,action,0,1.0986
uniform,0,general_13#73,test_iid,location,0,1.0986
uniform,0,general_14#5,test_iid,action,0,1.0986
uniform,0,general_14#27,test_iid,action,0,1.0986
uniform,0,general_14#35,test_iid,action,0,1.0986
uniform,0,general_14#53,test_iid,location,1,1.0986
uniform,0,general_14#54,test_iid,location,0,1.6094
uniform,0,general_14#68,test_iid,location,1,0.6931
uniform,0,general_14#83,test_iid,action,1,1.0986
uniform,0,general_14#86,test_iid,action,0,1.0986
uniform,0,general_14#90,test_iid,location,1,0.6931
uniform,0,general_15#20,test_iid,location,0,0.6931
uniform,0,general_15#24,test_iid,location,0,1.3863
uniform,0,general_15#39,test_iid,location,0,1.0986
uniform,0,general_15#62,test_iid,action,0,1.7918
uniform,0,general_15#80,test_iid,action,0,1.0986
uniform,0,general_15#89,test_iid,action,0,1.0986
uniform,0,heldout_location_01#1,test_family,location,1,1.3863
uniform,0,heldout_location_01#2,test_family,location,0,1.0986
uniform,0,heldout_location_01#3,test_family,location,1,1.0986
uniform,0,heldout_location_01#4,test_family,location,0,1.3863
uniform,0,heldout_location_01#5,test_family,location,0,1.0986
uniform,0,heldout_location_01#6,test_family,location,0,1.3863
uniform,0,heldout_location_01#7,test_family,location,1,1.0986
uniform,0,heldout_location_01#8,test_family,location,1,1.6094
uniform,0,heldout_location_01#9,test_family,location,0,1.0986
uniform,0,heldout_location_01#10,test_family,location,1,0.6931
uniform,0,heldout_location_01#11,test_family,location,0,1.6094
uniform,0,heldout_location_01#12,test_family,location,0,1.0986
uniform,0,heldout_location_01#13,test_family,location,1,1.3863
uniform,0,heldout_location_01#14,test_family,location,0,1.0986
uniform,0,heldout_location_01#15,test_family,location,0,1.3863
uniform,0,heldout_location_01#16,test_family,location,0,1.0986
uniform,0,heldout_location_01#17,test_family,location,1,1.0986
uniform,0,heldout_location_01#18,test_family,location,0,1.7918
uniform,0,heldout_location_01#19,test_family,location,1,1.0986
uniform,0,heldout_location_01#20,test_family,action,1,1.0986
uniform,0,heldout_location_01#21,test_family,action,0,1.0986
uniform,0,heldout_location_01#22,test_family,action,0,1.0986
uniform,0,heldout_location_01#23,test_family,action,0,1.0986
uniform,0,heldout_location_01#24,test_family,action,0,1.0986
uniform,0,heldout_location_01#25,test_family,action,1,1.0986
uniform,0,heldout_location_01#26,test_family,action,0,1.0986
uniform,0,heldout_location_01#27,test_family,action,1,1.0986
uniform,0,heldout_location_01#28,test_family,action,0,1.0986
uniform,0,heldout_location_01#29,test_family,action,1,1.0986
uniform,0,heldout_location_01#30,test_family,action,0,1.0986
uniform,0,heldout_location_01#31,test_family,action,0,1.0986
uniform,0,heldout_location_01#32,test_family,action,1,1.0986
uniform,0,heldout_location_01#33,test_family,action,0,1.0986
uniform,0,heldout_location_01#34,test_family,action,0,1.0986
uniform,0,heldout_location_01#35,test_family,action,1,1.0986
uniform,0,heldout_location_01#36,test_family,action,1,1.0986
uniform,0,heldout_location_01#37,test_family,action,0,1.0986
uniform,0,personality_01#1,test_pers,location,0,1.0986
uniform,0,personality_01#2,test_pers,location,0,1.3863
uniform,0,personality_01#3,test_pers,location,0,1.0986
uniform,0,personality_01#4,test_pers,location,1,1.3863
uniform,0,personality_01#5,test_pers,location,0,1.3863
uniform,0,personality_01#6,test_pers,location,1,1.3863
uniform,0,personality_01#7,test_pers,location,0,1.3863
uniform,0,personality_01#8,test_pers,location,0,1.0986
uniform,0,personality_01#9,test_pers,location,1,1.0986
uniform,0,personality_01#10,test_pers,location,0,1.7918
uniform,0,personality_01#11,test_pers,location,0,1.0986
uniform,0,personality_01#12,test_pers,location,0,1.0986
uniform,0,personality_01#13,test_pers,location,0,1.3863
uniform,0,personality_01#14,test_pers,location,0,1.0986
uniform,0,personality_01#15,test_pers,location,0,1.3863
uniform,0,personality_01#16,test_pers,location,0,1.7918
uniform,0,personality_01#17,test_pers,location,1,1.0986
uniform,0,personality_01#18,test_pers,location,1,1.3863
uniform,0,personality_01#19,test_pers,location,1,1.0986
uniform,0,personality_01#20,test_pers,action,1,1.0986
uniform,0,personality_01#21,test_pers,action,0,1.0986
uniform,0,personality_01#22,test_pers,action,0,1.0986
uniform,0,personality_01#23,test_pers,action,1,1.0986
uniform,0,personality_01#24,test_pers,action,1,1.0986
uniform,0,personality_01#25,test_pers,action,0,1.7918
uniform,0,personality_01#26,test_pers,action,0,1.0986
uniform,0,personality_01#27,test_pers,action,0,1.0986
uniform,0,personality_01#28,test_pers,action,1,1.0986
uniform,0,personality_01#29,test_pers,action,0,1.0986
uniform,0,personality_01#30,test_pers,action,1,1.0986
uniform,0,personality_01#31,test_pers,action,0,1.7918
uniform,0,personality_01#32,test_pers,action,0,1.0986
uniform,0,personality_01#33,test_pers,action,0,1.0986
uniform,0,personality_01#34,test_pers,action,0,1.0986
uniform,0,personality_01#35,test_pers,action,0,1.0986
uniform,0,personality_01#36,test_pers,action,0,1.0986
uniform,0,personality_01#37,test_pers,action,0,1.7918
uniform,0,personality_01#38,test_pers,action,0,1.0986
scorer,0,general_01#74,test_iid,action,1,0.1121
scorer,0,general_01#75,test_iid,location,1,0.8627
scorer,0,general_01#93,test_iid,action,0,1.1109
scorer,0,general_01#94,test_iid,action,0,1.65
scorer,0,general_02#32,test_iid,action,0,1.0832
scorer,0,general_02#35,test_iid,location,1,1.3459
scorer,0,general_02#61,test_iid,action,0,1.0614
scorer,0,general_02#65,test_iid,location,1,0.9159
