system,group,decision_type,n_cases,n_seeds,top1_mean,top1_std,nll_mean,nll_std
agnostic_nonlinear,all,action,76,5,0.38421052631578945,0.017155795803164873,1.1265311764437687,0.0034441352512633284
agnostic_nonlinear,all,all,154,5,0.3974025974025974,0.011615937545453456,1.1849330236045157,0.001587321840987447
agnostic_nonlinear,all,location,78,5,0.41025641025641024,0.009065471553673694,1.2418373875047313,0.004801065353013288
agnostic_nonlinear,test_family,action,18,5,0.3555555555555555,0.049690399499995326,1.115568443585185,0.006012672736936935
agnostic_nonlinear,test_family,all,37,5,0.2810810810810811,0.03081555202970643,1.210937499958821,0.006889334134274047
agnostic_nonlinear,test_family,location,19,5,0.21052631578947367,0.03721614637823934,1.3012871323127915,0.011018962040914312
agnostic_nonlinear,test_iid,action,39,5,0.3948717948717949,0.022934030538459372,1.085938142036579,0.0057360923468469495
agnostic_nonlinear,test_iid,all,79,5,0.48607594936708864,0.011321863177214135,1.1164181391483972,0.002909020202387419
agnostic_nonlinear,test_iid,location,40,5,0.575,0.0,1.1461361363324198,0.004457019068550871
agnostic_nonlinear,test_pers,action,19,5,0.3894736842105263,0.028827503026587688,1.2202394676719215,0.005669241745255852
agnostic_nonlinear,test_pers,all,38,5,0.3263157894736842,0.01441375151329386,1.3020517143130448,0.004292007533142341
agnostic_nonlinear,test_pers,location,19,5,0.2631578947368421,0.0,1.3838639609541683,0.0059089971798102145
agnostic_simple,all,action,76,5,0.4342105263157895,0.0,1.1334812142227435,0.00015189188100429854
agnostic_simple,all,all,154,5,0.40909090909090906,6.206335383118183e-17,1.1893374187840742,0.00015746299692189592
agnostic_simple,all,location,78,5,0.38461538461538464,0.0,1.2437614129720376,0.00021888926548546922
agnostic_simple,test_family,action,18,5,0.4444444444444445,6.206335383118183e-17,1.117523877588396,0.0002857395528925987
agnostic_simple,test_family,all,37,5,0.2972972972972973,0.0,1.20892357894926,0.00015607235500220506
agnostic_simple,test_family,location,19,5,0.15789473684210525,0.0,1.2955127697121838,0.00030098564149472624
agnostic_simple,test_iid,action,39,5,0.43589743589743596,6.206335383118183e-17,1.0837728290377526,0.00015354346308667823
agnostic_simple,test_iid,all,79,5,0.49367088607594944,6.206335383118183e-17,1.1155801376914676,6.0780414320484026e-05
agnostic_simple,test_iid,location,40,5,0.55,0.0,1.1465922636288397,0.00025103246761553857
agnostic_simple,test_pers,action,19,5,0.42105263157894735,0.0,1.2506316922034222,0.0005655170110426174
agnostic_simple,test_pers,all,38,5,0.34210526315789475,0.0,1.3236041893157593,0.0006500714967645851
agnostic_simple,test_pers,location,19,5,0.2631578947368421,0.0,1.3965766864280962,0.0011312120222553468
