idx,O,C,E,A,N,loud_share,conflict_share,coop_share,move_rate,coverage,noise,selected
0,-0.44,-0.65,0.21,-0.44,0.70,0.6550,0.3650,0.1950,0.9050,0.8000,0.2833,0
1,0.79,0.47,-0.75,-0.26,-0.64,0.1900,0.0400,0.0150,1.0000,0.6333,0.1355,0
2,0.52,-0.40,-0.74,-0.74,0.72,0.0300,0.0100,0.0750,0.8950,0.5500,0.1587,0
3,0.64,-0.75,0.37,0.31,-0.48,0.6900,0.1400,0.0850,1.0000,0.6833,0.1268,0
4,-0.26,0.64,-0.38,0.40,0.56,0.0000,0.0000,0.3400,0.4800,0.3333,0.2408,0
5,-0.72,-0.57,0.79,0.56,0.22,1.0000,0.0750,0.7950,0.9100,0.3667,0.2138,0
6,0.55,0.52,0.70,-0.10,-0.56,0.9850,0.1150,0.8650,0.9400,0.5250,0.1475,0
7,0.59,-0.05,0.59,-0.45,-0.05,0.7750,0.6200,0.0600,0.9750,0.6500,0.1557,0
8,0.74,-0.75,0.64,0.43,0.32,0.7050,0.0800,0.4100,0.9750,0.6500,0.1786,0
9,-0.65,0.27,-0.62,0.01,0.18,0.0000,0.0000,0.1600,0.5550,0.3333,0.1512,0
10,0.51,-0.48,0.28,-0.55,0.63,0.5050,0.3050,0.1300,0.9550,0.7917,0.2146,0
11,0.62,-0.18,0.62,-0.75,-0.78,0.7900,0.7900,0.0000,1.0000,0.6667,0.0424,0
12,0.67,0.67,-0.28,0.69,-0.34,0.3400,0.0000,0.7650,0.9800,0.5333,0.1128,0
13,-0.77,0.68,0.12,-0.34,-0.56,1.0000,0.4350,0.3400,0.8200,0.3833,0.2238,0
14,0.10,-0.55,0.05,-0.46,-0.55,0.7000,0.6300,0.0050,1.0000,0.6750,0.0830,0
15,-0.63,-0.36,-0.66,-0.71,-0.30,0.2900,0.2600,0.0850,1.0000,0.7167,0.1523,0
16,0.60,-0.31,-0.63,-0.73,0.19,0.1000,0.0450,0.0300,0.9750,0.6667,0.1792,0
17,0.70,0.34,0.01,-0.60,-0.77,0.5000,0.4550,0.0250,1.0000,0.8167,0.0828,0
18,0.58,-0.01,0.50,-0.11,-0.54,0.7350,0.3400,0.2850,1.0000,0.6750,0.1824,0
