a,b,archetype_a,archetype_b,separation_ratio,between_jsd,within_a,within_b,distribution_jsd,ocean_distance,both_selected
P1,P2,scholar,warrior,9.2870,0.6931,0.1210,0.0282,0.1098,2.0125,0
P1,P3,scholar,socialite,10.8027,0.6931,0.1210,0.0073,0.1817,2.2450,0
P1,P4,scholar,anxious recluse,1.5573,0.1916,0.1210,0.1251,0.0043,1.0724,0
P1,P5,scholar,adventurer,6.9223,0.6917,0.1210,0.0788,0.2167,1.9621,0
P1,P6,scholar,craftsman,5.3845,0.5390,0.1210,0.0792,0.0287,1.5067,0
P1,P7,scholar,schemer,1.0398,0.1743,0.1210,0.2142,0.0065,1.1832,0
P1,P8,scholar,peacemaker,7.8784,0.6821,0.1210,0.0521,0.0148,1.4036,0
P1,P9,scholar,hedonist,3.7767,0.6797,0.1210,0.2389,0.0313,2.0494,0
P1,P10,scholar,veteran,3.7288,0.4220,0.1210,0.1053,0.0424,1.5875,0
P2,P3,warrior,socialite,39.0034,0.6931,0.0282,0.0073,0.1091,2.0952,1
P2,P4,warrior,anxious recluse,9.0416,0.6931,0.0282,0.1251,0.0887,2.0785,1
P2,P5,warrior,adventurer,12.3596,0.6616,0.0282,0.0788,0.1411,2.0736,1
P2,P6,warrior,craftsman,12.9065,0.6931,0.0282,0.0792,0.1500,1.7720,1
P2,P7,warrior,schemer,5.5308,0.6704,0.0282,0.2142,0.0835,1.6823,0
P2,P8,warrior,peacemaker,16.9887,0.6826,0.0282,0.0521,0.0861,2.1024,1
P2,P9,warrior,hedonist,3.3622,0.4491,0.0282,0.2389,0.0394,1.9875,0
P2,P10,warrior,veteran,8.2518,0.5510,0.0282,0.1053,0.0947,1.0909,0
P3,P4,socialite,anxious recluse,10.3754,0.6867,0.0073,0.1251,0.1808,2.3979,1
P3,P5,socialite,adventurer,5.0804,0.2188,0.0073,0.0788,0.0256,0.8426,1
P3,P6,socialite,craftsman,16.0329,0.6931,0.0073,0.0792,0.2157,2.1517,1
P3,P7,socialite,schemer,6.0248,0.6672,0.0073,0.2142,0.1793,2.3958,0
P3,P8,socialite,peacemaker,5.8938,0.1751,0.0073,0.0521,0.1318,1.3077,1
P3,P9,socialite,hedonist,2.6171,0.3221,0.0073,0.2389,0.0925,1.0392,0
P3,P10,socialite,veteran,11.6056,0.6534,0.0073,0.1053,0.1408,2.2316,0
P4,P5,anxious recluse,adventurer,6.7026,0.6833,0.1251,0.0788,0.2176,2.3664,1
P4,P6,anxious recluse,craftsman,4.3489,0.4441,0.1251,0.0792,0.0332,1.6062,1
P4,P7,anxious recluse,schemer,1.3889,0.2356,0.1251,0.2142,0.0008,1.4663,0
P4,P8,anxious recluse,peacemaker,7.6234,0.6754,0.1251,0.0521,0.0148,1.5492,1
P4,P9,anxious recluse,hedonist,3.7239,0.6777,0.1251,0.2389,0.0242,1.8841,0
P4,P10,anxious recluse,veteran,3.6847,0.4244,0.1251,0.1053,0.0513,1.8520,0
P5,P6,adventurer,craftsman,8.7242,0.6891,0.0788,0.0792,0.2812,2.3664,1
P5,P7,adventurer,schemer,4.4565,0.6529,0.0788,0.2142,0.2162,2.0761,0
P5,P8,adventurer,peacemaker,5.7321,0.3753,0.0788,0.0521,0.1837,1.5620,1
P5,P9,adventurer,hedonist,2.0247,0.3216,0.0788,0.2389,0.1258,1.1958,0
P5,P10,adventurer,veteran,6.9259,0.6376,0.0788,0.1053,0.1840,2.2159,0
P6,P7,craftsman,schemer,3.9331,0.5769,0.0792,0.2142,0.0362,2.0809,0
P6,P8,craftsman,peacemaker,10.1609,0.6670,0.0792,0.0521,0.0234,1.2961,1
P6,P9,craftsman,hedonist,4.2352,0.6735,0.0792,0.2389,0.0730,2.3130,0
P6,P10,craftsman,veteran,3.9558,0.3648,0.0792,0.1053,0.0601,1.0440,0
P7,P8,schemer,peacemaker,4.8950,0.6518,0.2142,0.0521,0.0149,1.8520,0
P7,P9,schemer,hedonist,2.8275,0.6405,0.2142,0.2389,0.0228,1.9026,0
P7,P10,schemer,veteran,2.7804,0.4442,0.2142,0.1053,0.0575,1.9183,0
P8,P9,peacemaker,hedonist,2.5188,0.3665,0.0521,0.2389,0.0189,1.4248,0
P8,P10,peacemaker,veteran,7.8575,0.6184,0.0521,0.1053,0.0425,1.8628,0
P9,P10,hedonist,veteran,3.1976,0.5503,0.2389,0.1053,0.0491,2.3622,0
