sequence_id,persona,policy,seed,trail_zh,trail_en
S001,H1,scorer,42,集市（讨价还价） → 竞技场（比武） → 酒馆（斗殴） → 集市（讨价还价） → 竞技场（比武） → 酒馆（斗殴） → 集市（讨价还价） → 竞技场（比武） → 酒馆（斗殴） → 集市（讨价还价）,Market (Haggle) → Arena (Fight) → Tavern (Brawl) → Market (Haggle) → Arena (Fight) → Tavern (Brawl) → Market (Haggle) → Arena (Fight) → Tavern (Brawl) → Market (Haggle)
S002,H1,nonlinear_2b,42,竞技场（比武） → 竞技场（对练） → 竞技场（对练） → 竞技场（比武） → 竞技场（比武） → 竞技场（对练） → 竞技场（比武） → 竞技场（比武） → 竞技场（比武） → 竞技场（比武）,Arena (Fight) → Arena (Spar) → Arena (Spar) → Arena (Fight) → Arena (Fight) → Arena (Spar) → Arena (Fight) → Arena (Fight) → Arena (Fight) → Arena (Fight)
S003,H1,agnostic_nonlinear_2b,42,集市（逛摊子） → 树林（歇脚） → 酒馆（斗殴） → 集市（做买卖） → 图书馆（读书） → 教堂（忏悔） → 教堂（忏悔） → 教堂（祷告） → 教堂（祷告） → 树林（歇脚）,Market (Browse) → Forest (Rest) → Tavern (Brawl) → Market (Trade) → Library (Read) → Chapel (Confess) → Chapel (Confess) → Chapel (Pray) → Chapel (Pray) → Forest (Rest)
S004,H2,scorer,43,集市（做买卖） → 酒馆（闲聊） → 集市（做买卖） → 集市（做买卖） → 集市（做买卖） → 集市（做买卖） → 酒馆（闲聊） → 集市（做买卖） → 集市（做买卖） → 集市（做买卖）,Market (Trade) → Tavern (Chat) → Market (Trade) → Market (Trade) → Market (Trade) → Market (Trade) → Tavern (Chat) → Market (Trade) → Market (Trade) → Market (Trade)
S005,H2,nonlinear_2b,43,集市（做买卖） → 酒馆（闲聊） → 集市（做买卖） → 集市（做买卖） → 教堂（祷告） → 集市（做买卖） → 图书馆（讨论） → 集市（做买卖） → 集市（做买卖） → 集市（做买卖）,Market (Trade) → Tavern (Chat) → Market (Trade) → Market (Trade) → Chapel (Pray) → Market (Trade) → Library (Discuss) → Market (Trade) → Market (Trade) → Market (Trade)
S006,H2,agnostic_nonlinear_2b,43,教堂（祷告） → 酒馆（喝酒） → 教堂（祷告） → 集市（逛摊子） → 教堂（冥想） → 竞技场（观战） → 图书馆（读书） → 教堂（祷告） → 图书馆（讨论） → 树林（采集）,Chapel (Pray) → Tavern (Drink) → Chapel (Pray) → Market (Browse) → Chapel (Meditate) → Arena (Spectate) → Library (Read) → Chapel (Pray) → Library (Discuss) → Forest (Forage)
S007,H3,scorer,44,酒馆（闲聊） → 集市（做买卖） → 竞技场（指点他人） → 酒馆（闲聊） → 集市（讨价还价） → 竞技场（指点他人） → 集市（做买卖） → 酒馆（闲聊） → 竞技场（指点他人） → 集市（讨价还价）,Tavern (Chat) → Market (Trade) → Arena (Coach) → Tavern (Chat) → Market (Haggle) → Arena (Coach) → Market (Trade) → Tavern (Chat) → Arena (Coach) → Market (Haggle)
S008,H3,nonlinear_2b,44,酒馆（闲聊） → 酒馆（闲聊） → 酒馆（闲聊） → 酒馆（闲聊） → 集市（做买卖） → 竞技场（对练） → 竞技场（对练） → 竞技场（比武） → 竞技场（对练） → 竞技场（比武）,Tavern (Chat) → Tavern (Chat) → Tavern (Chat) → Tavern (Chat) → Market (Trade) → Arena (Spar) → Arena (Spar) → Arena (Fight) → Arena (Spar) → Arena (Fight)
S009,H3,agnostic_nonlinear_2b,44,图书馆（读书） → 教堂（忏悔） → 图书馆（讨论） → 图书馆（读书） → 集市（逛摊子） → 竞技场（操练） → 树林（歇脚） → 集市（讨价还价） → 集市（做买卖） → 教堂（祷告）,Library (Read) → Chapel (Confess) → Library (Discuss) → Library (Read) → Market (Browse) → Arena (Drill) → Forest (Rest) → Market (Haggle) → Market (Trade) → Chapel (Pray)
S010,H4,scorer,45,树林（采集） → 竞技场（比武） → 教堂（忏悔） → 集市（讨价还价） → 树林（采集） → 竞技场（比武） → 教堂（忏悔） → 树林（采集） → 集市（逛摊子） → 竞技场（比武）,Forest (Forage) → Arena (Fight) → Chapel (Confess) → Market (Haggle) → Forest (Forage) → Arena (Fight) → Chapel (Confess) → Forest (Forage) → Market (Browse) → Arena (Fight)
